Ticker,Date/Time,SECTOR,Sector Rank,Total Stocks,% StocksUpToday_Value,% Chg Today,21D RS%,% Above EMA21,% Above EMA50,% Above EMA200,% Near 52W High,5D Chg%,% Above RSI50,Best1,Best1 %,Best2,Best2 %,Best3,Best3 %,Worst1,Worst1 %,Worst2,Worst2 %,Worst3,Worst3 %
360ONE,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
21STCENMGM,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AADHARHFC,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
5PAISA,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AAKAAR,19-03-2026,Fast Moving Consumer Goods,9,187,19.79,-1.86,-8.85,16.04,16.04,20.32,0.53,-3.18,16.04,USASEEDS,4.99,MEDISTEP,4.8,NIPPOBATRY,3.15,VISHWAS,-10.97,PRUDMOULI,-8.93,SUNDARAM,-7.69
AAATECH,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
20MICRONS,19-03-2026,Metals & Mining,8,79,15.19,-1.55,-8.25,12.66,12.66,34.18,2.53,-2.75,13.92,SURANI,19.88,SHIVAUM,8.2,NMSTEEL,5.59,HINDZINC,-5.85,ORISSAMINE,-5.51,KIOCL,-5.41
A2ZINFRA,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
3IINFOLTD,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
3PLAND,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
63MOONS,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
3MINDIA,19-03-2026,Diversified,10,18,5.56,-2.75,-9.13,11.11,16.67,11.11,5.56,-4.32,16.67,3MINDIA,0.02,ASCOM,0,BINANIIND,0,SPECTSTM,-7.83,EMAPARTNER,-7.65,RAJPUTANA,-6.12
AARADHYA,19-03-2026,Forest Materials,7,27,11.11,-1.68,-8.24,14.81,14.81,11.11,0,-2.36,18.52,SHREYANIND,10.12,AARADHYA,6.19,GLOSTERLTD,0.67,NIKITA,-5.47,NRAIL,-5.01,ORIENTPPR,-4.34
AAKASH,19-03-2026,Oil Gas & Consumable Fuels,2,41,19.51,-1.72,-6.5,19.51,21.95,14.63,2.44,-4.72,21.95,ATGL,7.85,ONGC,1.55,OIL,1.4,PETRONET,-7.12,HINDPETRO,-7.03,SOUTHWEST,-7.03
AAREYDRUGS,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
AARTECH,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AARON,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
AARTIPHARM,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
AARTISURF,19-03-2026,Chemicals,14,188,10.64,-2.41,-11.38,12.23,12.23,14.89,1.6,-3.46,11.7,GUJALKALI,12.59,VALIANTORG,9.39,NACLIND,4.46,DUCOL,-8.81,UNILEX,-8.27,PARAGON,-7.23
AARTIDRUGS,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
AARTIIND,19-03-2026,Chemicals,14,188,10.64,-2.41,-11.38,12.23,12.23,14.89,1.6,-3.46,11.7,GUJALKALI,12.59,VALIANTORG,9.39,NACLIND,4.46,DUCOL,-8.81,UNILEX,-8.27,PARAGON,-7.23
AATMAJ,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
AARVI,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
AAVAS,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
ABBOTINDIA,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
ABCAPITAL,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
ABDL,19-03-2026,Fast Moving Consumer Goods,9,187,19.79,-1.86,-8.85,16.04,16.04,20.32,0.53,-3.18,16.04,USASEEDS,4.99,MEDISTEP,4.8,NIPPOBATRY,3.15,VISHWAS,-10.97,PRUDMOULI,-8.93,SUNDARAM,-7.69
ABB,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
ABHAPOWER,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
ABFRL,19-03-2026,Consumer Services,18,139,14.39,-2.01,-12.49,10.79,7.91,12.95,0.72,-3.46,8.63,KHFM,9.9,HAVISHA,7.14,KORE,5,SDREAMS,-9.69,COFFEEDAY,-6.37,URBANCO,-5.98
ABLBL,19-03-2026,Consumer Services,18,139,14.39,-2.01,-12.49,10.79,7.91,12.95,0.72,-3.46,8.63,KHFM,9.9,HAVISHA,7.14,KORE,5,SDREAMS,-9.69,COFFEEDAY,-6.37,URBANCO,-5.98
ABCOTS,19-03-2026,Textiles,16,145,12.41,-1.98,-12.11,16.55,13.79,17.93,2.76,-3.6,15.86,LAL,7.05,DAMODARIND,5.83,EUROTEXIND,4.46,SHRITECH,-8.3,SUPERSPIN,-6.86,MODTHREAD,-6.27
ABINFRA,19-03-2026,Construction Materials,22,40,5,-2.77,-13.72,2.5,0,12.5,0,-3.68,2.5,KESORAMIND,4.57,STARCEMENT,0.48,ARISINFRA,0,NUVOCO,-6.39,EUROPRATIK,-5.16,SANGHIIND,-4.96
ABMINTLLTD,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
ABSMARINE,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
ABSLAMC,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
ABREL,19-03-2026,Realty,21,74,8.11,-2.36,-13.1,4.05,2.7,5.41,1.35,-2.66,4.05,GOLDENTOBC,1.88,AGIIL,1.83,MAHLIFE,1.05,MASON,-6.02,ARTNIRMAN,-5.95,RAYMONDREL,-5.94
ACC,19-03-2026,Construction Materials,22,40,5,-2.77,-13.72,2.5,0,12.5,0,-3.68,2.5,KESORAMIND,4.57,STARCEMENT,0.48,ARISINFRA,0,NUVOCO,-6.39,EUROPRATIK,-5.16,SANGHIIND,-4.96
ACCENTMIC,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
ACCPL,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
ACCELYA,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
ACCURACY,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
ACI,19-03-2026,Chemicals,14,188,10.64,-2.41,-11.38,12.23,12.23,14.89,1.6,-3.46,11.7,GUJALKALI,12.59,VALIANTORG,9.39,NACLIND,4.46,DUCOL,-8.81,UNILEX,-8.27,PARAGON,-7.23
ACEINTEG,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
ACMESOLAR,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
ACTIVEINFR,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
ACUTAAS,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
ACE,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
ACL,19-03-2026,Construction Materials,22,40,5,-2.77,-13.72,2.5,0,12.5,0,-3.68,2.5,KESORAMIND,4.57,STARCEMENT,0.48,ARISINFRA,0,NUVOCO,-6.39,EUROPRATIK,-5.16,SANGHIIND,-4.96
ADANIGREEN,19-03-2026,Power,3,36,11.11,-1.53,-6.69,27.78,27.78,27.78,2.78,-2.33,27.78,JPPOWER,11.67,KARMAENG,3.01,CLASSICEIL,1.58,RELINFRA,-4.47,BAJEL,-4.26,RPOWER,-4.13
ADANIENSOL,19-03-2026,Power,3,36,11.11,-1.53,-6.69,27.78,27.78,27.78,2.78,-2.33,27.78,JPPOWER,11.67,KARMAENG,3.01,CLASSICEIL,1.58,RELINFRA,-4.47,BAJEL,-4.26,RPOWER,-4.13
ADANIENT,19-03-2026,Metals & Mining,8,79,15.19,-1.55,-8.25,12.66,12.66,34.18,2.53,-2.75,13.92,SURANI,19.88,SHIVAUM,8.2,NMSTEEL,5.59,HINDZINC,-5.85,ORISSAMINE,-5.51,KIOCL,-5.41
ADL,19-03-2026,Consumer Durables,13,145,13.79,-2.06,-11.04,12.41,10.34,15.17,0,-3.55,12.41,BUTTERFLY,12.9,MDL,12.51,GANGABATH,6.61,STYL,-8.7,UTSSAV,-6.77,MADHAV,-6.73
ADANIPORTS,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
ADANIPOWER,19-03-2026,Power,3,36,11.11,-1.53,-6.69,27.78,27.78,27.78,2.78,-2.33,27.78,JPPOWER,11.67,KARMAENG,3.01,CLASSICEIL,1.58,RELINFRA,-4.47,BAJEL,-4.26,RPOWER,-4.13
ADROITINFO,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
ADFFOODS,19-03-2026,Fast Moving Consumer Goods,9,187,19.79,-1.86,-8.85,16.04,16.04,20.32,0.53,-3.18,16.04,USASEEDS,4.99,MEDISTEP,4.8,NIPPOBATRY,3.15,VISHWAS,-10.97,PRUDMOULI,-8.93,SUNDARAM,-7.69
ADVANCE,19-03-2026,Chemicals,14,188,10.64,-2.41,-11.38,12.23,12.23,14.89,1.6,-3.46,11.7,GUJALKALI,12.59,VALIANTORG,9.39,NACLIND,4.46,DUCOL,-8.81,UNILEX,-8.27,PARAGON,-7.23
ADSL,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
ADOR,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
ADVENZYMES,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
ADVANIHOTR,19-03-2026,Consumer Services,18,139,14.39,-2.01,-12.49,10.79,7.91,12.95,0.72,-3.46,8.63,KHFM,9.9,HAVISHA,7.14,KORE,5,SDREAMS,-9.69,COFFEEDAY,-6.37,URBANCO,-5.98
AEROENTER,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AEGISVOPAK,19-03-2026,Oil Gas & Consumable Fuels,2,41,19.51,-1.72,-6.5,19.51,21.95,14.63,2.44,-4.72,21.95,ATGL,7.85,ONGC,1.55,OIL,1.4,PETRONET,-7.12,HINDPETRO,-7.03,SOUTHWEST,-7.03
AEROFLEX,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AESTHETIK,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
AERON,19-03-2026,Construction Materials,22,40,5,-2.77,-13.72,2.5,0,12.5,0,-3.68,2.5,KESORAMIND,4.57,STARCEMENT,0.48,ARISINFRA,0,NUVOCO,-6.39,EUROPRATIK,-5.16,SANGHIIND,-4.96
AEGISLOG,19-03-2026,Oil Gas & Consumable Fuels,2,41,19.51,-1.72,-6.5,19.51,21.95,14.63,2.44,-4.72,21.95,ATGL,7.85,ONGC,1.55,OIL,1.4,PETRONET,-7.12,HINDPETRO,-7.03,SOUTHWEST,-7.03
AERONEU,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AETHER,19-03-2026,Chemicals,14,188,10.64,-2.41,-11.38,12.23,12.23,14.89,1.6,-3.46,11.7,GUJALKALI,12.59,VALIANTORG,9.39,NACLIND,4.46,DUCOL,-8.81,UNILEX,-8.27,PARAGON,-7.23
AFCONS,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
AFFORDABLE,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AFFLE,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
AFIL,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AFSL,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AGARWALEYE,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
AGARIND,19-03-2026,Chemicals,14,188,10.64,-2.41,-11.38,12.23,12.23,14.89,1.6,-3.46,11.7,GUJALKALI,12.59,VALIANTORG,9.39,NACLIND,4.46,DUCOL,-8.81,UNILEX,-8.27,PARAGON,-7.23
AGARWALTUF,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AGIIL,19-03-2026,Realty,21,74,8.11,-2.36,-13.1,4.05,2.7,5.41,1.35,-2.66,4.05,GOLDENTOBC,1.88,AGIIL,1.83,MAHLIFE,1.05,MASON,-6.02,ARTNIRMAN,-5.95,RAYMONDREL,-5.94
AGNI,19-03-2026,Power,3,36,11.11,-1.53,-6.69,27.78,27.78,27.78,2.78,-2.33,27.78,JPPOWER,11.67,KARMAENG,3.01,CLASSICEIL,1.58,RELINFRA,-4.47,BAJEL,-4.26,RPOWER,-4.13
AGI,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AGSTRA,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AHCL,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
AGROPHOS,19-03-2026,Chemicals,14,188,10.64,-2.41,-11.38,12.23,12.23,14.89,1.6,-3.46,11.7,GUJALKALI,12.59,VALIANTORG,9.39,NACLIND,4.46,DUCOL,-8.81,UNILEX,-8.27,PARAGON,-7.23
AHIMSA,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AGRITECH,19-03-2026,Fast Moving Consumer Goods,9,187,19.79,-1.86,-8.85,16.04,16.04,20.32,0.53,-3.18,16.04,USASEEDS,4.99,MEDISTEP,4.8,NIPPOBATRY,3.15,VISHWAS,-10.97,PRUDMOULI,-8.93,SUNDARAM,-7.69
AHLADA,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AHLEAST,19-03-2026,Consumer Services,18,139,14.39,-2.01,-12.49,10.79,7.91,12.95,0.72,-3.46,8.63,KHFM,9.9,HAVISHA,7.14,KORE,5,SDREAMS,-9.69,COFFEEDAY,-6.37,URBANCO,-5.98
AIIL,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AIMTRON,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AHLUCONT,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
AIRAN,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
AIROLAM,19-03-2026,Consumer Durables,13,145,13.79,-2.06,-11.04,12.41,10.34,15.17,0,-3.55,12.41,BUTTERFLY,12.9,MDL,12.51,GANGABATH,6.61,STYL,-8.7,UTSSAV,-6.77,MADHAV,-6.73
AIAENG,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AISL,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
AJAXENGG,19-03-2026,Capital Goods,6,414,11.84,-2.13,-8.05,21.98,18.84,27.05,2.42,-3.15,19.81,MPEL,16.2,DKEGL,11.12,RVTH,7.86,MUNISH,-10.78,RAMASTEEL,-8.26,AUROIMPEX,-8.19
AJANTPHARM,19-03-2026,Healthcare,5,178,11.8,-2.06,-7.28,15.17,20.22,24.16,2.25,-3.52,16.29,AATMAJ,10.03,VALIANTLAB,8.56,BAFNAPH,4.99,AAREYDRUGS,-6.96,DCAL,-6.61,ZOTA,-5.63
AKANKSHA,19-03-2026,Consumer Durables,13,145,13.79,-2.06,-11.04,12.41,10.34,15.17,0,-3.55,12.41,BUTTERFLY,12.9,MDL,12.51,GANGABATH,6.61,STYL,-8.7,UTSSAV,-6.77,MADHAV,-6.73
AJOONI,19-03-2026,Fast Moving Consumer Goods,9,187,19.79,-1.86,-8.85,16.04,16.04,20.32,0.53,-3.18,16.04,USASEEDS,4.99,MEDISTEP,4.8,NIPPOBATRY,3.15,VISHWAS,-10.97,PRUDMOULI,-8.93,SUNDARAM,-7.69
AKASH,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
AKG,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
AJMERA,19-03-2026,Realty,21,74,8.11,-2.36,-13.1,4.05,2.7,5.41,1.35,-2.66,4.05,GOLDENTOBC,1.88,AGIIL,1.83,MAHLIFE,1.05,MASON,-6.02,ARTNIRMAN,-5.95,RAYMONDREL,-5.94
AKI,19-03-2026,Consumer Durables,13,145,13.79,-2.06,-11.04,12.41,10.34,15.17,0,-3.55,12.41,BUTTERFLY,12.9,MDL,12.51,GANGABATH,6.61,STYL,-8.7,UTSSAV,-6.77,MADHAV,-6.73
